#vA = 1
#vB = 1
#vS = 1
#XAB = -2
#XAS = 3
#XBS = 1
#wA = 1
#wB = 1
#wS = 1
#zA = 1
#zB = -1
#kaA = 1
#kaB = 1
#ep = 0.11429
#dt1 = 0.0001
#dt2 = 0.01
#init_iters = 1000
#iter_write = 1000
#iter_max = 100000
#L = 100
#N = 128
#dx = 0.78125
#t = 990.099999999245
#
# x  cA(x)  cB(x)  psi(x)
-21.484375 0.428903640076232 0.428903438670055 0.702354201788498
-20.703125 0.428863644987955 0.42886309226914 0.702269616902575
-19.921875 0.428822239971375 0.428822082879579 0.702187027375177
-19.140625 0.428780343038294 0.428779770793409 0.702098221532954
-18.359375 0.428736995973035 0.428736893131639 0.702012219389125
-17.578125 0.428693288437821 0.428692689956705 0.701919267343166
-16.796875 0.428648075704285 0.42864803999006 0.701830132133277
-16.015625 0.428602664748709 0.428602029815097 0.701733098809736
-15.234375 0.428555670470146 0.428555719131139 0.701641176797685
-14.453125 0.428508681270981 0.428507994241073 0.701540099583979
-13.671875 0.428459994820919 0.428460151912971 0.701445827040362
-12.890625 0.428411573710742 0.428410810356922 0.701340685301577
-12.109375 0.428361285086907 0.428361586066449 0.701244629368472
-11.328125 0.42831160525199 0.428310727244289 0.701135292003726
-10.546875 0.428259798921634 0.428260295967193 0.701038227267104
-9.765625 0.4282090809186 0.428208006378916 0.700924332521537
-8.984375 0.428155844241853 0.42815655876663 0.700827257660071
-8.203125 0.428104375968672 0.428102861196866 0.70070753568161
-7.421875 0.428049429947949 0.428050712709075 0.700611177645045
-6.640625 0.42799583119632 0.427996412082485 0.700484864859811
-5.859375 0.427933308737134 0.427947484222037 0.700410953237209
-5.078125 0.427870375562541 0.427899776528832 0.700360764173092
-4.296875 0.427831308181067 0.427841245881709 0.700525916284943
-3.515625 0.428014487420038 0.427595182406685 0.700491022466702
-2.734375 0.428833755089943 0.426402158773922 0.697665885014755
-1.953125 0.429732374396899 0.421366833921135 0.679912565614819
-1.171875 0.419311147091659 0.401939950786975 0.615954989096404
-0.390625 0.341531776176914 0.328905157452441 0.464767545652297
0.390625 0.157917680327962 0.172868331326554 0.259314550542478
1.171875 0.0838736699917476 0.0972831537192126 0.117171012690215
1.953125 0.0713734491949817 0.0784013200315937 0.0460772905899552
2.734375 0.0706895498464553 0.0739536270032509 0.013331088415956
3.515625 0.0712884045277361 0.0727349676850616 -0.000853399717452796
4.296875 0.0716979394648424 0.0723131397472024 -0.00705766522540363
5.078125 0.0718705484927113 0.0721321717389031 -0.00964972323398228
5.859375 0.0719213563457963 0.0720284666935502 -0.0108461705454895
6.640625 0.0719109784454969 0.0719571535951224 -0.0113645645566715
7.421875 0.0718781070443345 0.0718960757763856 -0.0116736984438596
8.203125 0.0718329856956427 0.071841580540951 -0.0118377126748487
8.984375 0.0717854901682931 0.0717883132894706 -0.0119878536843664
9.765625 0.0717353255239716 0.0717373487559735 -0.0120928839101103
10.546875 0.0716860926125132 0.0716864542673829 -0.012211015817024
11.328125 0.0716361833237354 0.0716370096210013 -0.0123062044431718
12.109375 0.071587619666785 0.0715876551117426 -0.0124148687292271
12.890625 0.071538953756703 0.0715395327180955 -0.0125076569607407
13.671875 0.0714916134695973 0.071491664191949 -0.0126110867485628
14.453125 0.0714444425117171 0.0714449535947823 -0.0127020817233195
15.234375 0.0713985408646788 0.071398649171888 -0.0128011660966382
16.015625 0.0713529892932879 0.0713534732975924 -0.0128899871408273
16.796875 0.071308667208114 0.0713088289471667 -0.0129849331779317
17.578125 0.0712648329659836 0.0712653029873282 -0.0130711470701885
18.359375 0.0712222047873671 0.0712224108327282 -0.0131619876835706
19.140625 0.0711801745434042 0.0711806365074859 -0.0132452321251227
19.921875 0.0711393376890675 0.0711395800071164 -0.0133319416846157
20.703125 0.0710991883919441 0.0710996454570065 -0.0134119248877443
21.484375 0.0710602260105176 0.071060498076266 -0.0134944554971979
22.265625 0.0710220246867825 0.0710224785402203 -0.0135709427564137
23.046875 0.0709850069191066 0.070985303407034 -0.0136492401640176
23.828125 0.0709488105555034 0.0709492619841262 -0.0137220427804043
24.609375 0.0709137954896618 0.0709141119825586 -0.0137960548050354
25.390625 0.0708796512005561 0.0708801004201408 -0.0138650220454509
26.171875 0.0708466857723283 0.0708470185591375 -0.0139347032449969
26.953125 0.0708146312155347 0.0708150780861117 -0.0139997163703971
27.734375 0.0707837521270224 0.070784098068991 -0.0140650304646808
28.515625 0.0707538161132559 0.0707542602868372 -0.0141259980488315
29.296875 0.0707250507921691 0.0707254072343017 -0.0141869188822881
30.078125 0.0706972540425177 0.0706976950663279 -0.0142437729372782
30.859375 0.070670621644343 0.0706709863570399 -0.0143002844421072
31.640625 0.070644977658379 0.0706454150476537 -0.0143529770694433
32.421875 0.0706204901019875 0.0706208612466982 -0.014405072502548
33.203125 0.0705970061025694 0.0705974393977229 -0.0144535728987141
33.984375 0.0705746691168272 0.0705750452498474 -0.0145012534467761
34.765625 0.070553347027483 0.0705537758832189 -0.0145455450431546
35.546875 0.0705331611452968 0.0705335413671038 -0.0145888174270705
36.328125 0.0705139984763275 0.0705144230370048 -0.0146288941843002
37.109375 0.0704959597027196 0.0704963445722745 -0.0146677646906577
37.890625 0.0704789497463694 0.07047937275937 -0.0147036207968538
38.671875 0.0704630484576617 0.0704634451835105 -0.0147380711009368
39.453125 0.0704481764530492 0.0704486154199291 -0.0147696505474324
40.234375 0.0704343864679714 0.0704348383130512 -0.0147995128126726
41.015625 0.0704216027458708 0.0704221594529838 -0.014826426009954
41.796875 0.0704098149533568 0.070410568180727 -0.0148506900754708
42.578125 0.0703988769197439 0.0704001340036819 -0.0148705951915129
43.359375 0.0703885185749687 0.0703909713662442 -0.0148834956586823
44.140625 0.0703780868650937 0.0703833657874893 -0.0148828611090419
44.921875 0.0703659599706871 0.0703780558667685 -0.0148516728109465
45.703125 0.0703484781560008 0.0703766719242562 -0.0147531727707204
46.484375 0.0703166124880063 0.0703834218912545 -0.0144921175293269
47.265625 0.0702499239000559 0.0704079654733454 -0.0138561277631597
48.046875 0.0701002705031686 0.0704749283675484 -0.0123129844988485
48.828125 0.0697661457983893 0.0706417788176885 -0.00866940005107719
49.609375 0.069058888954565 0.0710365686433637 -2.22044604925031e-16
